fecha_divulgada,nombre_proyecto,tipo_documento,numero_proyecto,url_proyecto,linea_producto,nombre_empresa,pais,codigo_pais_ifc,industria,categoria_ambiental,departamento,estado,inversion_ifc_gestion_riesgo_millones_usd,inversion_ifc_garantia_millones_usd,inversion_ifc_prestamo_millones_usd,inversion_ifc_capital_millones_usd,total_inversion_ifc_aprobada_junta_millones_usd,codigo_pais_bm
2008-06-03,PNOC-EDC Loan,Summary of Proposed Investment (Disclosure Policy 2006),26529,https://disclosures.ifc.org/project-detail/SPI/26529/pnoc-edc-loan,Loan,ENERGY DEVELOPMENT CORPORATION,Philippines,PHL,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Active,0.0,0.0,100.0,0.0,100.0,PH
2008-04-25,Ambuklao-Binga,Summary of Proposed Investment (Disclosure Policy 2006),26996,https://disclosures.ifc.org/project-detail/SPI/26996/ambuklao-binga,Loan,"SN ABOITIZ POWER-BENGUET, INC.",Philippines,PHL,Infrastructure,B,Regional Industry - INF Asia & Pac,Completed,0.0,0.0,100.0,0.0,100.0,PH
2007-12-10,Asian Hospital 2,Summary of Proposed Investment (Disclosure Policy 2006),26201,https://disclosures.ifc.org/project-detail/SPI/26201/asian-hospital-2,Loan,"ASIAN HOSPITAL, INC.",Philippines,PHL,Health and Education,B,Regional Industry - MAS Asia & Pac,Completed,0.0,0.0,29.39,0.0,29.39,PH
2007-11-19,CAMIF,Summary of Proposed Investment (Disclosure Policy 2006),26590,https://disclosures.ifc.org/project-detail/SPI/26590/camif,Loan,CENTRAL AMERICAN MEZZANINE INFRASTRUCTURE FUND LP,World Region,WLD,Financial Institutions,FI,Regional Industry INF LAC & EUR,Active,0.0,0.0,40.0,0.0,40.0,99
2007-10-31,Voxiva,Summary of Proposed Investment (Disclosure Policy 2006),25874,https://disclosures.ifc.org/project-detail/SPI/25874/voxiva,Equity,"Voxiva, Inc.",World Region,WLD,Financial Institutions,C,"Disruptive Tech, Service & Funds",Completed,0.0,0.0,0.0,5.0,5.0,99
2007-10-09,"Masinloc Power Partners Co., Ltd",Summary of Proposed Investment (Disclosure Policy 2006),26405,https://disclosures.ifc.org/project-detail/SPI/26405/masinloc-power-partners-co.-ltd,Loan,MASINLOC POWER PARTNERS CO. LTD.,Philippines,PHL,Infrastructure,B,Regional Industry - INF Asia & Pac,Completed,0.0,0.0,250.0,25.0,275.0,PH
2007-09-19,SCB Microfinance,Summary of Proposed Investment (Disclosure Policy 2006),26380,https://disclosures.ifc.org/project-detail/SPI/26380/scb-microfinance,Loan,STANDARD CHARTERED BANK,World Region,WLD,Financial Institutions,FI,Regional Industry - FIG Asia & Pac,Completed,0.0,0.0,45.0,0.0,45.0,99
2007-09-21,BDO Tier 2,Summary of Proposed Investment (Disclosure Policy 2006),25701,https://disclosures.ifc.org/project-detail/SPI/25701/bdo-tier-2,Loan,"BDO UNIBANK, INC.",Philippines,PHL,Financial Institutions,FI,"Global Industry, Financial Markets",Completed,0.0,0.0,149.4,0.0,149.4,PH
2007-07-30,Magat Hydro,Summary of Proposed Investment (Disclosure Policy 2006),26041,https://disclosures.ifc.org/project-detail/SPI/26041/magat-hydro,Loan,"SN ABOITIZ POWER-RES, INC.",Philippines,PHL,Infrastructure,B,Regional Industry - INF Asia & Pac,Completed,0.0,0.0,105.0,0.0,105.0,PH
2007-05-09,Melrose II Expansion,Summary of Proposed Investment (Disclosure Policy 2006),26180,https://disclosures.ifc.org/project-detail/SPI/26180/melrose-ii-expansion,Loan,PETROCELTIC RESOURCES PLC,World Region,WLD,"Oil, Gas, and Mining",B,Gbl Infrastructure &amp; Natural Resources,Completed,0.0,0.0,15.0,0.0,15.0,99
